epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,62.6986,0.13462,0.35103,1.94923,1.48778,0,0.03509,0.36991,0.01744,0.00619,0.02663,0.24602,0.00972,0.00338,0.2601,1.2063,41.3757,2.6117,0,0.00066129,0.00066129,0.00066129
2,124.714,0.15201,0.35304,1.91581,1.57562,0,0.22863,0.44643,0.19656,0.07518,0.21946,0.28496,0.15923,0.06306,0.20527,0.45921,6.24229,2.10163,0,0.00131481,0.00131481,0.00131481
3,193.146,0.14689,0.35504,1.91095,1.56448,0,0.57353,0.37699,0.34771,0.19566,0.61256,0.38053,0.33834,0.20906,0.18567,0.44863,2.76565,1.88983,0,0.00195513,0.00195513,0.00195513
4,289.705,0.14277,0.34528,1.86062,1.53495,0,0.53275,0.44779,0.41976,0.21374,0.55166,0.33982,0.32889,0.17395,0.19913,0.44,2.8736,1.83059,0,0.0019406,0.0019406,0.0019406
5,386.938,0.12707,0.31785,1.69437,1.44814,0,0.73573,0.46195,0.55144,0.33733,0.71763,0.43009,0.48607,0.31349,0.1573,0.35542,2.8333,1.47582,0,0.0019208,0.0019208,0.0019208
6,468.941,0.12869,0.3184,1.6873,1.43986,0,0.48913,0.53097,0.44805,0.258,0.49366,0.43363,0.37518,0.23102,0.1662,0.41587,3.46734,1.58256,0,0.001901,0.001901,0.001901
7,568.404,0.12411,0.30468,1.63977,1.42242,0,0.56458,0.47965,0.38874,0.2532,0.49583,0.42124,0.34056,0.22934,0.1562,0.40461,2.22237,1.4812,0,0.0018812,0.0018812,0.0018812
8,643.407,0.11569,0.29548,1.55491,1.39065,0,0.69675,0.50442,0.4946,0.32999,0.66891,0.49558,0.47328,0.33108,0.15615,0.34797,1.81904,1.47209,0,0.0018614,0.0018614,0.0018614
9,710.569,0.11486,0.28892,1.48977,1.3653,0,0.64432,0.60918,0.56781,0.37177,0.66206,0.50971,0.50133,0.32645,0.14473,0.34165,1.7979,1.38761,0,0.0018416,0.0018416,0.0018416
10,779.048,0.11359,0.28621,1.48299,1.35655,0,0.73702,0.59469,0.59311,0.39374,0.68339,0.55013,0.54593,0.37317,0.12885,0.30523,1.55122,1.29161,0,0.0018218,0.0018218,0.0018218
11,877.047,0.11259,0.28342,1.45278,1.35686,0,0.64849,0.64779,0.61829,0.43101,0.66927,0.6,0.5733,0.40865,0.1188,0.26734,1.72785,1.2203,0,0.001802,0.001802,0.001802
12,975.881,0.10653,0.26878,1.38106,1.3233,0,0.6865,0.64425,0.57151,0.38662,0.67017,0.56991,0.5192,0.35525,0.13197,0.32563,1.77944,1.33657,0,0.0017822,0.0017822,0.0017822
13,1066.99,0.10521,0.27032,1.36251,1.3278,0,0.75307,0.63363,0.62686,0.44212,0.7165,0.5469,0.56928,0.41387,0.12035,0.28666,1.80751,1.20022,0,0.0017624,0.0017624,0.0017624
14,1162.06,0.10241,0.25826,1.30616,1.30195,0,0.73191,0.6531,0.6846,0.45205,0.71005,0.58945,0.63162,0.43781,0.13788,0.26151,1.9137,1.39541,0,0.0017426,0.0017426,0.0017426
15,1259.94,0.10154,0.25697,1.2853,1.29724,0,0.67826,0.63804,0.60414,0.43168,0.69229,0.54867,0.55882,0.4015,0.11809,0.26813,1.70863,1.1957,0,0.0017228,0.0017228,0.0017228
16,1359.39,0.09978,0.25327,1.27515,1.28639,0,0.76878,0.61593,0.64855,0.46631,0.75938,0.56991,0.5945,0.42296,0.11432,0.2903,1.58385,1.18081,0,0.001703,0.001703,0.001703
17,1451.6,0.09979,0.25569,1.2919,1.28462,0,0.7415,0.65664,0.64828,0.47411,0.71219,0.63507,0.61752,0.45684,0.1133,0.25503,1.60367,1.16444,0,0.0016832,0.0016832,0.0016832
18,1522.29,0.10001,0.248,1.27523,1.29509,0,0.69044,0.70619,0.64979,0.47229,0.79508,0.59746,0.62456,0.46142,0.11608,0.23655,1.35716,1.16679,0,0.0016634,0.0016634,0.0016634
19,1596.84,0.09778,0.24404,1.26092,1.26925,0,0.74629,0.64425,0.66416,0.46964,0.72229,0.62655,0.63374,0.44839,0.11276,0.23749,1.42485,1.15517,0,0.0016436,0.0016436,0.0016436
