epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5995,0.71127,1.55776,2.34911,1.45946,0,0.99988,0.96296,0.9693,0.74215,0.99988,0.96296,0.9693,0.8841,0.86023,0.92449,1.49401,1.82776,0,0.000366667,0.000366667,0.000366667
2,41.318,0.51884,0.73966,1.4154,1.30127,0,0.9873,0.95968,0.97104,0.72344,0.9873,0.95968,0.9735,0.91727,0.8481,0.69588,1.06162,1.63652,0,0.000664037,0.000664037,0.000664037
3,59.7244,0.48828,0.65906,1.17059,1.27648,0,0.97488,0.95836,0.96931,0.77434,0.97488,0.95836,0.97173,0.88638,0.75028,0.68761,0.78636,1.55439,0,0.000888081,0.000888081,0.000888081
4,78.0183,0.42379,0.60083,0.94002,1.1972,0,0.94981,0.9346,0.95996,0.81893,0.94981,0.9346,0.96522,0.88916,0.63347,0.74283,0.62195,1.44147,0,0.000781033,0.000781033,0.000781033
5,96.4609,0.36322,0.56661,0.78896,1.12645,0,0.98785,0.96296,0.97635,0.80464,0.98785,0.96296,0.9793,0.91182,0.62064,0.73961,0.51976,1.3863,0,0.000671044,0.000671044,0.000671044
6,114.891,0.34429,0.55213,0.68879,1.11787,0,0.99923,0.96296,0.9655,0.82066,0.99923,0.96296,0.97421,0.91234,0.59235,0.70244,0.53107,1.36584,0,0.000561055,0.000561055,0.000561055
7,133.285,0.31941,0.51739,0.60056,1.08321,0,0.98631,0.95062,0.97356,0.87056,0.99912,0.96296,0.97605,0.91366,0.48349,0.69526,0.4657,1.2227,0,0.000451066,0.000451066,0.000451066
8,152.059,0.29422,0.49759,0.55324,1.07215,0,0.98676,0.96296,0.98649,0.87225,0.98676,0.96296,0.98713,0.92375,0.49618,0.64769,0.41636,1.21615,0,0.000341077,0.000341077,0.000341077
9,170.907,0.27885,0.48263,0.5088,1.04678,0,0.98734,0.96273,0.97517,0.87102,0.99891,0.96296,0.98048,0.92138,0.46127,0.63083,0.38468,1.21875,0,0.000231088,0.000231088,0.000231088
10,189.211,0.23525,0.4551,0.45893,1.01436,0,0.9865,0.95062,0.98405,0.88803,0.99932,0.96296,0.98702,0.93147,0.42492,0.67203,0.35658,1.15503,0,0.000121099,0.000121099,0.000121099
