epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.3643,0.24013,6.11928,1.59356,0.57838,0.71031,0.5724,0.31999,0.1946,3.30312,1.3414,0.000415556,0.000415556,0.000415556
2,64.8535,0.20321,3.56722,1.42661,0.60283,0.71612,0.60284,0.35504,0.17847,2.94845,1.36224,0.000832019,0.000832019,0.000832019
3,96.0645,0.19148,3.1471,1.37745,0.64107,0.7957,0.70245,0.41984,0.1736,2.71173,1.30191,0.00124767,0.00124767,0.00124767
4,126.876,0.18786,2.98013,1.35053,0.65625,0.78917,0.71795,0.4391,0.17545,2.49848,1.27426,0.00124725,0.00124725,0.00124725
5,157.119,0.18547,2.87204,1.34399,0.66114,0.78144,0.7164,0.44401,0.16731,2.52233,1.28205,0.00124512,0.00124512,0.00124512
6,186.975,0.18334,2.69561,1.31564,0.68901,0.79449,0.74682,0.46406,0.1696,2.31338,1.26354,0.00124238,0.00124238,0.00124238
7,217.053,0.17972,2.60839,1.3118,0.66568,0.79267,0.71183,0.4491,0.16632,2.27691,1.26607,0.00123904,0.00123904,0.00123904
8,247.146,0.17865,2.54431,1.30349,0.66542,0.77469,0.71963,0.45716,0.1638,2.26497,1.23983,0.0012351,0.0012351,0.0012351
9,277.059,0.17543,2.44974,1.2879,0.69448,0.81872,0.77176,0.49405,0.16479,2.15725,1.24185,0.00123056,0.00123056,0.00123056
10,307.045,0.17665,2.42726,1.28255,0.71742,0.79242,0.76645,0.49399,0.16156,2.14783,1.22907,0.00122543,0.00122543,0.00122543
11,339.53,0.17448,2.38257,1.28681,0.64607,0.78046,0.68273,0.43182,0.16408,2.26999,1.23694,0.00121972,0.00121972,0.00121972
12,370.296,0.17291,2.33515,1.28283,0.71108,0.82192,0.77892,0.49876,0.16269,2.0612,1.23522,0.00121342,0.00121342,0.00121342
13,401.352,0.17185,2.2936,1.26443,0.68941,0.80476,0.72957,0.47569,0.15889,2.05821,1.20999,0.00120655,0.00120655,0.00120655
14,432.708,0.17202,2.2611,1.26369,0.73096,0.8002,0.78672,0.51567,0.15875,1.92408,1.2127,0.00119911,0.00119911,0.00119911
15,463.712,0.16979,2.22279,1.26024,0.72039,0.82378,0.78085,0.50833,0.16092,1.96877,1.22136,0.00119111,0.00119111,0.00119111
16,494.328,0.17011,2.19039,1.26058,0.71911,0.7901,0.75163,0.48712,0.16121,1.96291,1.21622,0.00118256,0.00118256,0.00118256
17,525.81,0.17042,2.19322,1.25882,0.71586,0.81878,0.78588,0.51397,0.15981,1.99228,1.22589,0.00117346,0.00117346,0.00117346
18,556.346,0.1692,2.15653,1.25368,0.72013,0.7967,0.75798,0.49914,0.15656,1.93428,1.19387,0.00116383,0.00116383,0.00116383
19,587.069,0.16996,2.13538,1.25294,0.69625,0.79982,0.74741,0.48735,0.15856,1.97074,1.19575,0.00115368,0.00115368,0.00115368
20,617.872,0.17058,2.12613,1.25225,0.74762,0.83372,0.81121,0.54028,0.15646,1.83948,1.19078,0.00114301,0.00114301,0.00114301
21,649.184,0.16833,2.09804,1.24249,0.7388,0.81482,0.7881,0.51408,0.15805,1.87566,1.20411,0.00113183,0.00113183,0.00113183
22,681.21,0.16931,2.09363,1.24741,0.73744,0.81547,0.7893,0.52096,0.15513,1.84274,1.19193,0.00112016,0.00112016,0.00112016
23,713.428,0.16802,2.09635,1.2409,0.74587,0.81328,0.81036,0.52799,0.15793,1.85908,1.19608,0.00110801,0.00110801,0.00110801
24,743.893,0.16748,2.07463,1.2429,0.70295,0.82089,0.74395,0.48787,0.15664,1.88193,1.19331,0.00109538,0.00109538,0.00109538
25,774.4,0.16801,2.04366,1.2408,0.73973,0.81465,0.78593,0.51259,0.15871,1.83988,1.20065,0.0010823,0.0010823,0.0010823
26,807.336,0.16718,2.00795,1.23297,0.75435,0.82622,0.81033,0.53533,0.15736,1.78619,1.1909,0.00106877,0.00106877,0.00106877
27,840.823,0.16509,2.03109,1.23441,0.74017,0.83331,0.79752,0.52955,0.15621,1.77527,1.19537,0.00105481,0.00105481,0.00105481
28,872.323,0.16652,2.0161,1.24307,0.69835,0.82746,0.76079,0.49525,0.15848,1.85543,1.19857,0.00104044,0.00104044,0.00104044
29,905.63,0.16761,2.01197,1.23902,0.73889,0.83122,0.79343,0.5267,0.156,1.7799,1.19662,0.00102566,0.00102566,0.00102566
30,938.435,0.16605,1.9702,1.22675,0.74652,0.83426,0.80498,0.5361,0.15686,1.76179,1.19261,0.00101049,0.00101049,0.00101049
31,970.916,0.16577,1.99352,1.22978,0.71461,0.82028,0.76014,0.50742,0.1556,1.80646,1.1876,0.000994942,0.000994942,0.000994942
32,1001.64,0.1656,1.94115,1.23204,0.74747,0.81335,0.78406,0.52152,0.1556,1.76356,1.19007,0.000979039,0.000979039,0.000979039
33,1032.87,0.16656,1.95748,1.22774,0.71165,0.81034,0.75854,0.4987,0.15782,1.81795,1.19192,0.000962793,0.000962793,0.000962793
34,1064.18,0.16505,1.92846,1.22678,0.68448,0.81165,0.7307,0.48037,0.1572,1.8245,1.18286,0.000946219,0.000946219,0.000946219
35,1095.47,0.16665,1.91658,1.22357,0.73865,0.81113,0.78669,0.51212,0.15979,1.78218,1.19854,0.000929335,0.000929335,0.000929335
