epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28651,3.03742,5.90726,3.1099,3.23441,0,0.04062,0.35379,0.05411,0.01462,0.00017,0.00047,1e-05,0,3.22246,5.08643,3.24243,3.63709,0,0.000465748,0.000465748,0.000465748
2,14.8918,2.92589,4.53579,2.79553,3.00669,0,0.52645,0.10743,0.10088,0.0403,0,0,0,0,2.73075,8.05128,2.35946,2.86517,0,0.000919258,0.000919258,0.000919258
3,20.5188,2.74381,4.32852,2.63313,2.7618,0,0.56941,0.15651,0.1287,0.04318,0.00029,0.00234,0,0,2.84838,6.27559,2.51851,3.12,0,0.00128432,0.00128432,0.00128432
4,26.1939,2.57019,4.14323,2.45965,2.5911,0,0.05767,0.32426,0.0932,0.02818,0.0068,0.02391,0.00084,0.00014,2.7298,3.8974,2.4011,2.88744,0,0.00113742,0.00113742,0.00113742
5,31.8182,2.54967,4.0124,2.41346,2.56505,0,0.08197,0.25792,0.07508,0.02808,0.00145,0.01313,6e-05,1e-05,2.69407,4.0149,2.66422,2.7013,0,0.00094023,0.00094023,0.00094023
6,37.4514,2.57475,4.10617,2.42613,2.53279,0,0.15537,0.21451,0.03045,0.01119,0.33606,0.02016,0.00022,4e-05,2.39093,3.75503,2.81061,2.40153,0,0.000721645,0.000721645,0.000721645
7,43.0607,2.47136,3.94176,2.26555,2.4533,0,0.05494,0.25397,0.06118,0.01888,0.00282,0.02579,0.00024,4e-05,2.45309,3.8739,2.29553,2.41663,0,0.00050306,0.00050306,0.00050306
8,48.5879,2.47485,3.92173,2.28719,2.44263,0,0.43101,0.10267,0.08843,0.03154,0.00225,0.02016,0.00017,3e-05,2.4829,3.92272,2.15636,2.4201,0,0.000305872,0.000305872,0.000305872
9,54.3344,2.45185,3.84566,2.43133,2.42865,0,0.48331,0.10689,0.13414,0.05561,0.00217,0.01875,0.00012,2e-05,2.43098,3.70805,2.02179,2.36951,0,0.000149383,0.000149383,0.000149383
10,60.0154,2.40571,3.81563,2.29592,2.41012,0,0.4999,0.10502,0.14347,0.05979,0.0026,0.0225,0.00017,3e-05,2.41551,3.65218,1.9929,2.35734,0,4.89104e-05,4.89104e-05,4.89104e-05
