epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,11.542,2.6243,4.68823,2.47187,2.82095,0,0.17709,0.14906,0.10285,0.03127,0.00023,0.00141,0,0,3.09527,5.92398,3.86116,3.34171,0,0.000465748,0.000465748,0.000465748
2,22.8944,2.4432,3.99566,2.29942,2.58752,0,0.0398,0.07079,0.02347,0.00895,0.00197,0.01547,9e-05,1e-05,2.62317,6.20598,13.8185,3.16955,0,0.000932755,0.000932755,0.000932755
3,34.0853,2.79553,4.18968,2.6804,2.86428,0,0.00545,0.04162,0.00067,0.00013,0,0,0,0,3.89348,11.0175,4.53638,3.61301,0,0.00139033,0.00139033,0.00139033
4,45.3615,2.84096,4.24318,2.61536,2.86487,0,0.02209,0.19179,0.01154,0.00306,0,0,0,0,3.28773,5.04389,3.63367,4.69406,0,0.00138656,0.00138656,0.00138656
5,56.5902,2.55517,4.05654,2.52728,2.72942,0,0.01338,0.03329,0.00288,0.00061,0,0,0,0,3.09205,4.91307,4.49016,3.40165,0,0.00137241,0.00137241,0.00137241
6,67.9316,2.37555,3.99561,2.30291,2.60044,0,0.35637,0.05391,0.00561,0.00106,0,0,0,0,3.63394,4.982,3.29507,3.43814,0,0.00135826,0.00135826,0.00135826
7,79.2877,2.43064,3.96734,2.22921,2.57711,0,0.03992,0.2326,0.02635,0.0093,0.33462,0.00375,2e-05,0,2.99901,4.43113,2.99537,3.20842,0,0.00134412,0.00134412,0.00134412
8,90.472,2.49761,3.93385,2.29491,2.64923,0,0.44083,0.04923,0.04905,0.01901,0.0001,0.00094,0,0,2.90478,4.9744,3.03875,3.09763,0,0.00132997,0.00132997,0.00132997
9,101.836,2.33285,3.9512,2.20984,2.48945,0,0.44496,0.09189,0.06722,0.02626,0.00038,0.00328,0,0,2.95968,5.65629,2.51884,2.87534,0,0.00131582,0.00131582,0.00131582
10,113.417,2.23822,3.84927,2.13134,2.46649,0,0.47454,0.16407,0.10319,0.03204,0.00024,0.00188,0,0,2.91966,5.90707,2.54066,3.3931,0,0.00130168,0.00130168,0.00130168
11,124.921,2.19878,3.76944,2.10873,2.41406,0,0.44965,0.11392,0.08794,0.02766,0.00115,0.00938,3e-05,0,2.84904,6.05118,2.6219,2.75494,0,0.00128753,0.00128753,0.00128753
12,136.29,2.17026,3.87425,2.10414,2.39337,0,0.04523,0.28718,0.06465,0.02059,0,0,0,0,2.72281,8.02469,2.99937,2.65765,0,0.00127338,0.00127338,0.00127338
13,147.65,2.06672,3.78207,1.90365,2.32775,0,0.46816,0.10408,0.11175,0.03609,0.00154,0.0136,9e-05,1e-05,2.79192,4.2732,2.26183,2.77462,0,0.00125923,0.00125923,0.00125923
14,159.163,2.14866,3.72945,1.96732,2.40054,0,0.47355,0.10033,0.10752,0.0384,0.00021,0.00188,0,0,2.63169,4.31676,2.21726,2.63913,0,0.00124509,0.00124509,0.00124509
15,170.472,2.14951,3.78765,2.01136,2.35419,0,0.18676,0.15413,0.12196,0.04971,0.00026,0.00234,0,0,2.40802,5.06294,2.21111,2.42614,0,0.00123094,0.00123094,0.00123094
16,181.678,2.0243,3.71072,1.90813,2.30301,0,0.12632,0.11829,0.09296,0.02718,0.0028,0.02438,0.00025,4e-05,2.72757,4.1947,2.39762,2.73259,0,0.00121679,0.00121679,0.00121679
17,192.716,2.06131,3.7173,1.94973,2.34565,0,0.8012,0.07202,0.08414,0.02796,0.0008,0.00656,1e-05,0,2.79016,3.87116,2.37819,2.7737,0,0.00120265,0.00120265,0.00120265
18,204.031,2.01829,3.71084,2.01014,2.28678,0,0.81423,0.12002,0.12317,0.04915,0.33493,0.00938,6e-05,1e-05,2.45708,4.05971,1.99904,2.36362,0,0.0011885,0.0011885,0.0011885
19,215.245,2.01329,3.61863,1.91425,2.29541,0,0.81986,0.09001,0.12882,0.05174,0.00178,0.015,8e-05,1e-05,2.53302,4.03841,2.06067,2.43943,0,0.00117435,0.00117435,0.00117435
20,226.671,1.96448,3.59384,1.86501,2.25891,0,0.82553,0.10118,0.13578,0.05276,0.00028,0.00234,0,0,2.58775,4.20871,2.25936,2.5473,0,0.00116021,0.00116021,0.00116021
21,237.952,1.93429,3.59079,1.96366,2.26155,0,0.73923,0.14846,0.15347,0.05667,0.00325,0.02766,0.00028,4e-05,2.49344,3.9432,2.09318,2.46785,0,0.00114606,0.00114606,0.00114606
22,249.263,1.90133,3.55697,1.87093,2.22049,0,0.52383,0.17574,0.16388,0.05365,0.00385,0.03282,0.00037,6e-05,2.47554,3.95343,2.03202,2.45428,0,0.00113191,0.00113191,0.00113191
23,260.486,1.96401,3.55393,1.93339,2.26155,0,0.16168,0.35833,0.14515,0.0552,0.01706,0.0586,0.0385,0.00769,2.40917,3.93307,2.0375,2.37283,0,0.00111776,0.00111776,0.00111776
24,271.78,1.92191,3.59921,1.87886,2.21374,0,0.40039,0.27679,0.14559,0.05377,0.01938,0.06751,0.03868,0.00881,2.52577,3.81367,2.01738,2.47238,0,0.00110362,0.00110362,0.00110362
25,282.888,1.95005,3.52594,1.86402,2.22826,0,0.4246,0.25719,0.12924,0.04488,0.04153,0.07595,0.0197,0.00584,2.42936,3.86687,2.02012,2.38982,0,0.00108947,0.00108947,0.00108947
26,294.17,1.94575,3.5261,1.85067,2.22593,0,0.13052,0.40858,0.15617,0.05336,0.08757,0.07314,0.03879,0.00966,2.37457,3.70611,1.99298,2.35085,0,0.00107532,0.00107532,0.00107532
27,305.504,1.89704,3.52738,1.77267,2.18163,0,0.47915,0.10281,0.12335,0.04757,0.00584,0.05089,0.00067,0.00011,2.37989,3.72739,2.0152,2.37396,0,0.00106118,0.00106118,0.00106118
