epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9564,1.15871,1.56213,3.92959,0.94424,0,0.43576,0.59531,0.44207,0.2946,0.43816,0.59755,0.44338,0.28201,1.01638,1.54533,2.84424,1.01228,0,0.000473481,0.000473481,0.000473481
2,68.2064,1.17255,1.40753,2.64605,0.9535,0,0.44181,0.60968,0.54355,0.37375,0.45038,0.61853,0.55207,0.32581,1.18358,1.71313,2.53678,1.11394,0,0.000855783,0.000855783,0.000855783
3,100.021,1.11455,1.30227,2.10611,0.94803,0,0.61496,0.58801,0.6595,0.45242,0.50408,0.69489,0.66351,0.42773,1.06039,1.25287,2.11653,1.06376,0,0.00114377,0.00114377,0.00114377
4,130.094,1.08427,1.30147,1.73566,0.93335,0,0.69981,0.73605,0.7552,0.54047,0.71319,0.74296,0.75797,0.52047,1.00001,1.24429,1.50869,1.01772,0,0.00100459,0.00100459,0.00100459
5,160.359,1.04971,1.20345,1.45344,0.91636,0,0.75639,0.79829,0.83641,0.61603,0.77166,0.80084,0.84669,0.57825,0.95535,1.17877,1.29538,0.9995,0,0.000863116,0.000863116,0.000863116
6,190.142,0.99919,1.14942,1.27571,0.90802,0,0.82657,0.82777,0.89822,0.66284,0.83216,0.83174,0.89806,0.59049,0.94139,1.12404,1.15636,1.02311,0,0.000721645,0.000721645,0.000721645
7,219.961,0.93405,1.09231,1.07687,0.88553,0,0.87847,0.8073,0.9018,0.68545,0.87944,0.81865,0.90805,0.63299,0.88115,1.15331,1.03222,0.97797,0,0.000580174,0.000580174,0.000580174
8,251.108,0.91709,1.05668,0.98334,0.88432,0,0.87916,0.87742,0.92612,0.71277,0.88181,0.88001,0.92923,0.66573,0.80613,0.98033,0.96727,0.94734,0,0.000438703,0.000438703,0.000438703
9,281.09,0.86399,0.98453,0.87526,0.86938,0,0.87528,0.86237,0.91975,0.72986,0.87782,0.86495,0.9254,0.6598,0.7826,1.10277,0.90605,0.95455,0,0.000297232,0.000297232,0.000297232
10,311.06,0.84411,0.9758,0.84279,0.86584,0,0.88004,0.87972,0.92582,0.72915,0.88135,0.8912,0.93875,0.66404,0.79492,0.97444,0.83898,0.9469,0,0.000155761,0.000155761,0.000155761
