epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,123.729,0.78999,1.42833,3.65594,1.20292,0,0.85271,0.84527,0.81125,0.55107,0.8633,0.85578,0.83059,0.61492,0.9136,1.08079,3.87237,1.42369,0,0.000416301,0.000416301,0.000416301
2,222.051,0.78952,1.15983,2.34329,1.1861,0,0.91981,0.87958,0.92004,0.66769,0.9165,0.88445,0.92064,0.71738,0.82249,0.97875,2.35828,1.32219,0,0.000832764,0.000832764,0.000832764
3,319.924,0.8039,1.17509,2.01421,1.19086,0,0.91397,0.91512,0.95069,0.65122,0.91292,0.91407,0.94031,0.73255,0.85531,1.003,1.98428,1.31356,0,0.00124841,0.00124841,0.00124841
4,419.908,0.79783,1.1955,1.85016,1.1888,0,0.92183,0.90423,0.93432,0.69573,0.92134,0.90651,0.93351,0.73078,0.80125,0.96044,1.80138,1.25792,0,0.00124725,0.00124725,0.00124725
5,517.451,0.77416,1.14348,1.71602,1.17446,0,0.94446,0.8931,0.94768,0.6945,0.94446,0.8931,0.94756,0.74578,0.80162,0.95486,1.64326,1.26799,0,0.00124512,0.00124512,0.00124512
6,613.476,0.7542,1.10083,1.6508,1.16397,0,0.92533,0.91125,0.94245,0.6965,0.93686,0.90861,0.94328,0.75002,0.83809,0.98582,1.64191,1.24175,0,0.00124238,0.00124238,0.00124238
7,712.101,0.70723,1.09466,1.52905,1.12702,0,0.93074,0.9034,0.94958,0.73264,0.93325,0.91051,0.95121,0.75424,0.74717,0.91252,1.44242,1.16545,0,0.00123904,0.00123904,0.00123904
8,809.29,0.69463,1.06922,1.46849,1.12512,0,0.93805,0.92258,0.95644,0.75418,0.93592,0.92048,0.95561,0.76601,0.67348,0.90392,1.42607,1.1091,0,0.0012351,0.0012351,0.0012351
9,905.807,0.68154,1.06246,1.42058,1.11417,0,0.94274,0.91662,0.96396,0.77288,0.94423,0.91807,0.96498,0.77901,0.67375,0.92494,1.32938,1.09446,0,0.00123056,0.00123056,0.00123056
10,1002.13,0.67355,1.04959,1.39986,1.10071,0,0.92881,0.94643,0.96561,0.75485,0.92774,0.94401,0.95619,0.7462,0.66691,0.93181,1.36973,1.09695,0,0.00122543,0.00122543,0.00122543
11,1100.89,0.66491,1.06247,1.37812,1.09913,0,0.94914,0.92135,0.95631,0.77146,0.95025,0.92286,0.95627,0.77229,0.64174,0.92413,1.27892,1.07943,0,0.00121972,0.00121972,0.00121972
12,1198.1,0.64995,1.0307,1.34407,1.0921,0,0.93839,0.928,0.96645,0.78868,0.93998,0.92647,0.96533,0.78881,0.63084,0.90736,1.27941,1.05269,0,0.00121342,0.00121342,0.00121342
13,1294.96,0.65134,1.0521,1.30777,1.08075,0,0.94431,0.93067,0.96598,0.77011,0.94431,0.93067,0.96496,0.77243,0.61236,0.86623,1.16195,1.04386,0,0.00120655,0.00120655,0.00120655
14,1391.36,0.61584,1.01293,1.26083,1.06585,0,0.94609,0.94015,0.96705,0.79452,0.94609,0.94015,0.96706,0.79163,0.61325,0.87679,1.13265,1.04613,0,0.00119911,0.00119911,0.00119911
15,1491.24,0.63608,1.0222,1.33902,1.08321,0,0.9462,0.9422,0.95859,0.79324,0.94564,0.94013,0.95808,0.78629,0.58398,0.8664,1.09539,1.02689,0,0.00119111,0.00119111,0.00119111
16,1589.01,0.62341,1.01751,1.25179,1.0759,0,0.95626,0.94164,0.97699,0.72499,0.9552,0.94059,0.9772,0.74938,0.64828,0.84354,1.28234,1.08943,0,0.00118256,0.00118256,0.00118256
17,1686.07,0.61653,0.97932,1.2385,1.07504,0,0.94256,0.93074,0.96678,0.79243,0.94256,0.93074,0.9666,0.78814,0.60868,0.8749,1.11137,1.05555,0,0.00117346,0.00117346,0.00117346
18,1784,0.61891,0.99461,1.20753,1.07225,0,0.94848,0.95798,0.9775,0.8053,0.9452,0.95903,0.97735,0.7874,0.61486,0.90342,1.0824,1.04073,0,0.00116383,0.00116383,0.00116383
19,1883.17,0.60384,1.00176,1.20249,1.05944,0,0.96345,0.93487,0.96869,0.79277,0.96237,0.93382,0.96827,0.78429,0.603,0.92539,1.12578,1.02769,0,0.00115368,0.00115368,0.00115368
20,1981.34,0.60055,0.98252,1.18356,1.06658,0,0.94528,0.94367,0.96913,0.78965,0.95078,0.93329,0.96899,0.77436,0.5796,0.88485,1.08828,1.02378,0,0.00114301,0.00114301,0.00114301
21,2082.26,0.59015,0.9848,1.14764,1.05377,0,0.94038,0.94435,0.9678,0.80583,0.93933,0.9433,0.96746,0.79227,0.58111,0.83599,1.09448,1.02323,0,0.00113183,0.00113183,0.00113183
22,2183.64,0.57397,0.96723,1.14046,1.0522,0,0.95943,0.94433,0.96848,0.81271,0.96597,0.93277,0.95977,0.78419,0.5699,0.82275,1.01347,1.01256,0,0.00112016,0.00112016,0.00112016
23,2284.22,0.57784,0.97794,1.14135,1.04339,0,0.95726,0.94328,0.96015,0.80861,0.95494,0.94118,0.95998,0.78369,0.55485,0.83841,1.01239,1.00891,0,0.00110801,0.00110801,0.00110801
24,2382.55,0.58838,0.97143,1.16049,1.05,0,0.94675,0.95245,0.96895,0.81902,0.94746,0.95588,0.96947,0.79235,0.55042,0.82927,1.0059,0.98729,0,0.00109538,0.00109538,0.00109538
25,2480.76,0.58732,0.96705,1.16107,1.06006,0,0.94943,0.95903,0.97935,0.82546,0.95101,0.95838,0.97037,0.79295,0.53872,0.83734,0.95585,0.9842,0,0.0010823,0.0010823,0.0010823
26,2580.53,0.56409,0.94913,1.08753,1.04162,0,0.95268,0.95163,0.96099,0.82375,0.95163,0.95058,0.96036,0.80053,0.54387,0.86794,0.94274,0.9904,0,0.00106877,0.00106877,0.00106877
27,2679.06,0.57372,0.94117,1.10459,1.04655,0,0.9602,0.96299,0.98044,0.82236,0.9581,0.96089,0.98004,0.79153,0.54407,0.81649,0.96502,0.98834,0,0.00105481,0.00105481,0.00105481
28,2776.86,0.57859,0.94722,1.09475,1.05138,0,0.96169,0.94935,0.97998,0.82397,0.97037,0.93592,0.97937,0.80813,0.56081,0.82412,0.98853,0.9922,0,0.00104044,0.00104044,0.00104044
29,2876.62,0.55512,0.95715,1.06281,1.03749,0,0.95869,0.95074,0.97759,0.82865,0.95763,0.94969,0.9775,0.79007,0.55431,0.86662,1.00637,0.9937,0,0.00102566,0.00102566,0.00102566
30,2976.2,0.5604,0.97414,1.05777,1.03536,0,0.95534,0.95273,0.97889,0.825,0.95414,0.95168,0.97873,0.80178,0.56314,0.84455,0.96585,0.99761,0,0.00101049,0.00101049,0.00101049
31,3073.87,0.55711,0.96657,1.05384,1.0315,0,0.96728,0.95588,0.97142,0.82673,0.96621,0.95483,0.97135,0.78809,0.54471,0.85363,0.93437,0.99411,0,0.000994942,0.000994942,0.000994942
32,3172.06,0.56136,0.93971,1.05936,1.03848,0,0.95726,0.95798,0.98036,0.8386,0.95454,0.95903,0.97081,0.8155,0.51363,0.79223,0.90486,0.96716,0,0.000979039,0.000979039,0.000979039
33,3271.52,0.55802,0.94066,1.05153,1.03755,0,0.95608,0.9604,0.97122,0.83508,0.95504,0.95935,0.97125,0.80383,0.53739,0.81299,0.90984,0.98541,0,0.000962793,0.000962793,0.000962793
34,3370.84,0.55206,0.93675,1.03345,1.02874,0,0.96279,0.95126,0.971,0.82152,0.96171,0.94981,0.97068,0.80253,0.54504,0.81245,0.94185,0.99129,0,0.000946219,0.000946219,0.000946219
35,3469.15,0.54313,0.94413,1.00503,1.02688,0,0.96155,0.94575,0.96981,0.83678,0.95838,0.94338,0.96982,0.79765,0.50146,0.80705,0.86915,0.95534,0,0.000929335,0.000929335,0.000929335
36,3567.51,0.55761,0.96363,1.04819,1.04495,0,0.96959,0.9378,0.96984,0.84478,0.96856,0.93856,0.96984,0.81239,0.50357,0.80028,0.87454,0.95784,0,0.000912157,0.000912157,0.000912157
37,3667.43,0.53211,0.91861,0.99273,1.01626,0,0.9704,0.94958,0.97097,0.82251,0.96826,0.94748,0.96981,0.7999,0.52011,0.80074,0.93054,0.96811,0,0.000894701,0.000894701,0.000894701
38,3766.99,0.54367,0.94191,0.99603,1.03477,0,0.96789,0.94995,0.96151,0.81195,0.96682,0.9489,0.96129,0.792,0.55754,0.79382,1.01938,1.0028,0,0.000876985,0.000876985,0.000876985
39,3865.77,0.52586,0.92044,0.99785,1.02061,0,0.9705,0.95378,0.96227,0.81566,0.97151,0.95378,0.96218,0.78746,0.54662,0.83235,0.97526,0.99595,0,0.000859027,0.000859027,0.000859027
40,3965.31,0.52762,0.91964,0.98591,1.01308,0,0.95956,0.94707,0.97881,0.83809,0.95636,0.94392,0.97781,0.80194,0.50863,0.8104,0.94678,0.96943,0,0.000840844,0.000840844,0.000840844
41,4064.49,0.53696,0.92129,1.005,1.02884,0,0.9542,0.96299,0.98046,0.84228,0.95317,0.96207,0.98024,0.80974,0.50817,0.81034,0.89969,0.96399,0,0.000822454,0.000822454,0.000822454
42,4163.4,0.52518,0.9086,0.96568,1.01741,0,0.96156,0.95273,0.97122,0.84542,0.9605,0.95168,0.9709,0.80531,0.5076,0.78414,0.91145,0.95083,0,0.000803876,0.000803876,0.000803876
43,4261.76,0.51488,0.89455,0.95887,1.01214,0,0.9666,0.95693,0.98047,0.84929,0.9666,0.95693,0.97992,0.81143,0.49854,0.79557,0.88019,0.95865,0,0.000785127,0.000785127,0.000785127
44,4362.2,0.51751,0.94788,0.95011,1.01024,0,0.95484,0.95492,0.97105,0.84403,0.95274,0.95282,0.97065,0.80506,0.50489,0.80398,0.8818,0.96402,0,0.000766226,0.000766226,0.000766226
45,4460.9,0.51361,0.89649,0.94413,1.01067,0,0.95997,0.95734,0.97111,0.84124,0.95681,0.95419,0.97074,0.8066,0.50412,0.7949,0.86184,0.95955,0,0.000747192,0.000747192,0.000747192
46,4559.18,0.50211,0.89178,0.93304,1.00893,0,0.96505,0.95903,0.9705,0.84635,0.973,0.94958,0.97039,0.81081,0.49407,0.78172,0.86344,0.95332,0,0.000728044,0.000728044,0.000728044
47,4657.91,0.51208,0.90867,0.94732,1.0129,0,0.96584,0.95483,0.97142,0.84555,0.96265,0.95168,0.97097,0.79989,0.4918,0.78148,0.85118,0.94645,0,0.0007088,0.0007088,0.0007088
48,4757.72,0.51321,0.90874,0.93175,1.01229,0,0.97128,0.95168,0.9707,0.84317,0.97314,0.95128,0.97063,0.80984,0.49793,0.78006,0.88252,0.94729,0,0.00068948,0.00068948,0.00068948
49,4855.71,0.5048,0.91044,0.91993,1.00989,0,0.97581,0.95903,0.98168,0.84643,0.97474,0.95798,0.9723,0.81612,0.50527,0.79575,0.89417,0.95168,0,0.000670102,0.000670102,0.000670102
50,4954.71,0.51144,0.89774,0.89881,1.00829,0,0.97509,0.94583,0.97128,0.84983,0.97611,0.94411,0.971,0.80675,0.47689,0.81749,0.82506,0.92495,0,0.000650685,0.000650685,0.000650685
51,5054.77,0.49517,0.89439,0.91343,0.99615,0,0.97255,0.94958,0.97993,0.85265,0.97201,0.94853,0.97966,0.80969,0.49345,0.79859,0.85549,0.95247,0,0.00063125,0.00063125,0.00063125
52,5192.7,0.50176,0.88099,0.90599,1.00441,0,0.95619,0.96288,0.98053,0.85549,0.9598,0.96113,0.98048,0.81073,0.49534,0.79405,0.84559,0.94734,0,0.000611815,0.000611815,0.000611815
53,5345.82,0.49593,0.89215,0.89305,0.99989,0,0.9633,0.96497,0.98117,0.86235,0.96449,0.96218,0.9719,0.80348,0.46311,0.79336,0.77726,0.91652,0,0.000592398,0.000592398,0.000592398
